,NAME,ZCTA,ZIP_TYPE,zip_join_type,PO_NAME,STATE,S1903_C03_015E,S1903_C03_034E
0,ZCTA5 00601,601,Zip Code Area,Zip matches ZCTA,Adjuntas,PR,15721,8336
1,ZCTA5 00602,602,Zip Code Area,Zip matches ZCTA,Aguada,PR,21060,10612
2,ZCTA5 00603,603,Zip Code Area,Zip matches ZCTA,Aguadilla,PR,19340,9663
3,ZCTA5 00603,603,Post Office or large volume customer,Spatial join to ZCTA,Aguadilla,PR,19340,9663
4,ZCTA5 00603,603,Post Office or large volume customer,Spatial join to ZCTA,Aguadilla,PR,19340,9663
5,ZCTA5 00606,606,Zip Code Area,Zip matches ZCTA,Maricao,PR,16176,12000
6,ZCTA5 00610,610,Zip Code Area,Zip matches ZCTA,Anasco,PR,23968,11448
7,ZCTA5 00612,612,Zip Code Area,Zip matches ZCTA,Arecibo,PR,24863,9868
8,ZCTA5 00612,612,Post Office or large volume customer,Spatial join to ZCTA,Arecibo,PR,24863,9868
9,ZCTA5 00612,612,Post Office or large volume customer,Spatial join to ZCTA,Arecibo,PR,24863,9868
10,ZCTA5 00616,616,Post Office or large volume customer,Zip matches ZCTA,Bajadero,PR,21587,10199
11,ZCTA5 00617,617,Zip Code Area,Zip matches ZCTA,Barceloneta,PR,19719,11174
12,ZCTA5 00622,622,Post Office or large volume customer,Zip matches ZCTA,Boqueron,PR,17861,9524
13,ZCTA5 00623,623,Zip Code Area,Zip matches ZCTA,Cabo Rojo,PR,20894,11710
14,ZCTA5 00624,624,Zip Code Area,Zip matches ZCTA,Penuelas,PR,20024,10915
15,ZCTA5 00627,627,Zip Code Area,Zip matches ZCTA,Camuy,PR,22142,9724
16,ZCTA5 00631,631,Zip Code Area,Zip matches ZCTA,Castaner,PR,13300,8421
17,ZCTA5 00637,637,Zip Code Area,Zip matches ZCTA,Sabana Grande,PR,22161,10920
18,ZCTA5 00638,638,Zip Code Area,Zip matches ZCTA,Ciales,PR,20391,10526
19,ZCTA5 00641,641,Post Office or large volume customer,Spatial join to ZCTA,Angeles,PR,19732,8440
20,ZCTA5 00641,641,Zip Code Area,Zip matches ZCTA,Utuado,PR,19732,8440
21,ZCTA5 00646,646,Zip Code Area,Zip matches ZCTA,Dorado,PR,38238,14805
22,ZCTA5 00647,647,Zip Code Area,Zip matches ZCTA,Ensenada,PR,18684,10953
23,ZCTA5 00650,650,Zip Code Area,Zip matches ZCTA,Florida,PR,21243,11915
24,ZCTA5 00652,652,Post Office or large volume customer,Zip matches ZCTA,Garrochales,PR,23575,14563
25,ZCTA5 00653,653,Zip Code Area,Zip matches ZCTA,Guanica,PR,13689,7770
26,ZCTA5 00656,656,Zip Code Area,Zip matches ZCTA,Guayanilla,PR,21235,11315
27,ZCTA5 00659,659,Zip Code Area,Zip matches ZCTA,Hatillo,PR,24405,11393
28,ZCTA5 00660,660,Zip Code Area,Zip matches ZCTA,Hormigueros,PR,24268,12855
29,ZCTA5 00662,662,Zip Code Area,Zip matches ZCTA,Isabela,PR,20357,11538
30,ZCTA5 00664,664,Zip Code Area,Zip matches ZCTA,Jayuya,PR,18370,4783
31,ZCTA5 00667,667,Zip Code Area,Zip matches ZCTA,Lajas,PR,16730,11785
32,ZCTA5 00669,669,Zip Code Area,Zip matches ZCTA,Lares,PR,19350,8622
33,ZCTA5 00670,670,Zip Code Area,Zip matches ZCTA,Las Marias,PR,22537,7473
34,ZCTA5 00674,674,Zip Code Area,Zip matches ZCTA,Manati,PR,23835,10662
35,ZCTA5 00676,676,Zip Code Area,Zip matches ZCTA,Moca,PR,19448,9881
36,ZCTA5 00677,677,Zip Code Area,Zip matches ZCTA,Rincon,PR,28771,10735
37,ZCTA5 00678,678,Zip Code Area,Zip matches ZCTA,Quebradillas,PR,22258,10693
38,ZCTA5 00680,680,Post Office or large volume customer,Spatial join to ZCTA,Rosario,PR,21681,8316
39,ZCTA5 00680,680,Zip Code Area,Zip matches ZCTA,Mayaguez,PR,21681,8316
40,ZCTA5 00680,680,Post Office or large volume customer,Spatial join to ZCTA,Mayaguez,PR,21681,8316
41,ZCTA5 00682,682,Zip Code Area,Zip matches ZCTA,Mayaguez,PR,21289,9655
42,ZCTA5 00683,683,Zip Code Area,Zip matches ZCTA,San German,PR,22267,9833
43,ZCTA5 00685,685,Zip Code Area,Zip matches ZCTA,San Sebastian,PR,20149,7286
44,ZCTA5 00687,687,Zip Code Area,Zip matches ZCTA,Morovis,PR,22593,10906
45,ZCTA5 00688,688,Post Office or large volume customer,Zip matches ZCTA,Sabana Hoyos,PR,20048,8702
46,ZCTA5 00690,690,Zip Code Area,Zip matches ZCTA,San Antonio,PR,17049,14405
47,ZCTA5 00692,692,Zip Code Area,Zip matches ZCTA,Vega Alta,PR,23081,12255
48,ZCTA5 00693,693,Zip Code Area,Zip matches ZCTA,Vega Baja,PR,24392,11820
49,ZCTA5 00694,694,Post Office or large volume customer,Zip matches ZCTA,Vega Baja,PR,0,0
50,ZCTA5 00698,698,Zip Code Area,Zip matches ZCTA,Yauco,PR,21026,9468
51,ZCTA5 00703,703,Zip Code Area,Zip matches ZCTA,Aguas Buenas,PR,22685,12097
52,ZCTA5 00704,704,Zip Code Area,Zip matches ZCTA,Aguirre,PR,22230,10018
53,ZCTA5 00705,705,Zip Code Area,Zip matches ZCTA,Aibonito,PR,23497,12111
54,ZCTA5 00707,707,Zip Code Area,Zip matches ZCTA,Maunabo,PR,24182,15208
55,ZCTA5 00714,714,Zip Code Area,Zip matches ZCTA,Arroyo,PR,18347,11204
56,ZCTA5 00715,715,Zip Code Area,Zip matches ZCTA,Mercedita,PR,16332,9849
57,ZCTA5 00716,716,Zip Code Area,Zip matches ZCTA,Ponce,PR,21278,11739
58,ZCTA5 00717,717,Zip Code Area,Zip matches ZCTA,Ponce,PR,17362,9051
59,ZCTA5 00718,718,Zip Code Area,Zip matches ZCTA,Naguabo,PR,21135,13996
